Router NAT translations

Router#sh ip nat translations
Pro  Inside global         Inside local          Outside local         Outside global
tcp  172.120.105.123:4113  192.168.2.3:64701     23.45.194.106:443     23.45.194.106:443
tcp  172.120.105.123:4171  192.168.2.3:64694     23.33.40.138:443      23.33.40.138:443
udp  172.120.105.123:4576  192.168.1.3:57811     23.33.40.152:443      23.33.40.152:443
udp  172.120.105.123:4523  192.168.1.3:57321     23.55.235.250:443     23.55.235.250:443
udp  172.120.105.123:4621  192.168.1.3:62575     23.54.161.81:443      23.54.161.81:443
tcp  172.120.105.123:4170  192.168.2.3:64693     23.33.40.138:443      23.33.40.138:443
tcp  172.120.105.123:4114  192.168.2.3:64702     23.45.194.106:443     23.45.194.106:443
udp  172.120.105.123:4642  192.168.1.3:55501     8.8.8.8:53            8.8.8.8:53
tcp  172.120.105.123:4320  192.168.1.3:59530     8.8.8.8:443           8.8.8.8:443
tcp  172.120.105.123:4284  192.168.2.3:64622     142.250.80.3:443      142.250.80.3:443
tcp  172.120.105.123:4288  192.168.2.3:64624     142.250.65.170:443    142.250.65.170:443
tcp  172.120.105.123:4135  192.168.1.3:59405     20.25.241.18:443      20.25.241.18:443
tcp  172.120.105.123:4337  192.168.1.3:59510     20.25.241.18:443      20.25.241.18:443
udp  172.120.105.123:4637  192.168.2.3:60624     142.251.40.132:443    142.251.40.132:443
udp  172.120.105.123:4648  192.168.2.3:63797     142.250.64.110:443    142.250.64.110:443
udp  172.120.105.123:4640  192.168.2.3:62064     142.250.65.170:443    142.250.65.170:443
udp  172.120.105.123:4562  192.168.1.3:62540     23.33.40.145:443      23.33.40.145:443
tcp  172.120.105.123:4353  192.168.2.3:64654     23.54.161.90:443      23.54.161.90:443
udp  172.120.105.123:4522  192.168.1.3:53880     8.8.8.8:443           8.8.8.8:443
tcp  172.120.105.123:4190  192.168.1.3:59420     23.203.176.221:80     23.203.176.221:80
tcp  172.120.105.123:4164  192.168.1.3:59542     23.45.194.106:443     23.45.194.106:443
tcp  172.120.105.123:4167  192.168.1.3:59545     23.45.194.106:443     23.45.194.106:443
tcp  172.120.105.123:4099  192.168.1.3:59533     23.33.40.132:443      23.33.40.132:443
udp  172.120.105.123:4647  192.168.2.3:62073     142.250.80.3:443      142.250.80.3:443
udp  172.120.105.123:4622  192.168.1.3:55919     23.44.133.30:443      23.44.133.30:443
tcp  172.120.105.123:4226  192.168.1.3:59431     23.33.40.132:443      23.33.40.132:443
udp  172.120.105.123:512   192.168.2.3:123       168.61.215.74:123     168.61.215.74:123
tcp  172.120.105.123:4117  192.168.2.3:64704     23.33.40.151:443      23.33.40.151:443
tcp  172.120.105.123:4111  192.168.2.3:64699     23.33.40.151:443      23.33.40.151:443
tcp  172.120.105.123:4304  192.168.2.3:64631     142.250.64.110:443    142.250.64.110:443
tcp  172.120.105.123:4120  192.168.2.3:64707     23.33.40.151:443      23.33.40.151:443
udp  172.120.105.123:4561  192.168.1.3:62439     23.55.235.250:443     23.55.235.250:443
udp  172.120.105.123:4680  192.168.2.3:50858     23.200.3.30:443       23.200.3.30:443
udp  172.120.105.123:4569  192.168.2.3:58586     23.33.40.143:443      23.33.40.143:443
udp  172.120.105.123:576   192.168.1.3:123       168.61.215.74:123     168.61.215.74:123
udp  172.120.105.123:4677  192.168.2.3:62140     23.33.40.153:443      23.33.40.153:443
tcp  172.120.105.123:4109  192.168.2.3:64655     150.171.27.11:443     150.171.27.11:443
tcp  172.120.105.123:4102  192.168.1.3:59536     23.212.250.8:443      23.212.250.8:443
tcp  172.120.105.123:4166  192.168.1.3:59544     23.203.176.221:80     23.203.176.221:80
tcp  172.120.105.123:4100  192.168.1.3:59534     23.212.250.8:443      23.212.250.8:443
tcp  172.120.105.123:4105  192.168.1.3:59539     23.212.250.8:443      23.212.250.8:443
tcp  172.120.105.123:4160  192.168.1.3:59540     20.190.151.68:443     20.190.151.68:443
tcp  172.120.105.123:4107  192.168.2.3:64696     20.190.190.196:443    20.190.190.196:443
udp  172.120.105.123:4659  192.168.1.3:59343     8.8.8.8:443           8.8.8.8:443
tcp  172.120.105.123:4106  192.168.2.3:64695     20.190.190.196:443    20.190.190.196:443
tcp  172.120.105.123:4185  192.168.1.3:59416     23.44.136.179:443     23.44.136.179:443
tcp  172.120.105.123:4324  192.168.1.3:59529     23.55.235.248:443     23.55.235.248:443
 --More--
